BRT_ID,BRT_DIRECTION,BRT_CLASS,BRN_IN_OCCURYMDHMS,BRN_OUT_OCCURYMDHMS,BNODE_KNAME,BNODE_X,BNODE_Y
140,순환,0,2021-10-26 00:00:44,2021-10-26 00:00:59,신평농협,128.3611767,36.12214845
185,역방향,0,2021-10-26 00:00:47,2021-10-26 00:00:56,인동사거리,128.4189842,36.10696454
140,순환,0,2021-10-26 00:01:15,2021-10-26 00:01:32,강산타운아파트건너,128.3594641,36.12141381
185,역방향,0,2021-10-26 00:02:22,2021-10-26 00:02:29,수도가압장(SK실트론건너방면),128.4148276,36.1112048
185,역방향,0,2021-10-26 00:02:43,2021-10-26 00:02:51,SK실트론1공장,128.4117341,36.11117266
185,역방향,0,2021-10-26 00:03:04,2021-10-26 00:03:10,"엘지디스플레이,공장",128.4086556,36.1111251
185,역방향,0,2021-10-26 00:04:10,2021-10-26 00:04:17,구미전자공고입구,128.4040831,36.11118287
185,역방향,0,2021-10-26 00:05:27,2021-10-26 00:05:32,LS전선건너,128.3885097,36.11107825
140,순환,0,2021-10-26 00:05:28,2021-10-26 00:05:45,구미종합터미널건너,128.3508489,36.12267599
185,역방향,0,2021-10-26 00:05:58,2021-10-26 00:06:05,세무서네거리,128.38555399,36.11198279
185,역방향,0,2021-10-26 00:06:29,2021-10-26 00:06:31,LIG넥스원앞,128.3855943,36.11576432
140,순환,0,2021-10-26 00:06:50,2021-10-26 00:07:08,동아백화점건너,128.3483332,36.12013148
185,역방향,0,2021-10-26 00:07:10,2021-10-26 00:07:16,예일베어링앞,128.3846531,36.11974289
140,순환,0,2021-10-26 00:07:38,2021-10-26 00:07:52,시청후문건너,128.3442194,36.12059897
185,역방향,0,2021-10-26 00:07:46,2021-10-26 00:07:51,비산벽산A,128.3796102,36.11976207
185,역방향,0,2021-10-26 00:08:28,2021-10-26 00:08:39,비산초등건너,128.3736036,36.11966161
140,순환,0,2021-10-26 00:09:34,2021-10-26 00:09:48,송정동번개시장앞,128.3400031,36.12189624
185,역방향,0,2021-10-26 00:09:58,2021-10-26 00:10:08,신평e편한세상아파트,128.3668432,36.12212555
140,순환,0,2021-10-26 00:10:03,2021-10-26 00:10:17,푸르지오캐슬A단지,128.3374574,36.12389806
185,역방향,0,2021-10-26 00:10:23,2021-10-26 00:10:32,신평중학교입구,128.3641015,36.12296633
140,순환,0,2021-10-26 00:10:59,2021-10-26 00:11:13,대구은행앞,128.3356625,36.12718339
185,역방향,0,2021-10-26 00:11:09,2021-10-26 00:11:19,신평농협,128.3611767,36.12214845
185,역방향,0,2021-10-26 00:11:33,2021-10-26 00:11:47,강산타운아파트건너,128.3594641,36.12141381
140,순환,0,2021-10-26 00:12:00,2021-10-26 00:12:14,구미역 전(국민은행),128.3322865,36.12861582
140,순환,0,2021-10-26 00:12:28,2021-10-26 00:12:42,구미역(중앙시장),128.3298341,36.12962183
185,역방향,0,2021-10-26 00:13:36,2021-10-26 00:14:00,구미종합터미널건너,128.3508489,36.12267599
185,역방향,0,2021-10-26 00:14:23,2021-10-26 00:14:32,터미널네거리(송원고가밑방면),128.3482793,36.12230851
185,역방향,0,2021-10-26 00:14:54,2021-10-26 00:15:01,송원고가밑(구미역방면),128.3439691,36.12341245
185,역방향,0,2021-10-26 00:15:20,2021-10-26 00:15:22,금오시장 입구,128.340973,36.12474098
185,역방향,0,2021-10-26 00:15:31,2021-10-26 00:15:38,원평동 행정복지 센터 앞,128.3388928,36.12581949
185,역방향,0,2021-10-26 00:17:09,2021-10-26 00:17:18,대구은행앞,128.3356625,36.12718339
185,역방향,0,2021-10-26 00:17:38,2021-10-26 00:17:45,구미역 전(국민은행),128.3322865,36.12861582
185,역방향,0,2021-10-26 00:17:58,2021-10-26 00:18:05,구미역(중앙시장),128.3298341,36.12962183
553,역방향,0,2021-10-26 05:38:45,2021-10-26 05:40:19,구미종합터미널건너,128.3508489,36.12267599
553,역방향,0,2021-10-26 05:40:47,2021-10-26 05:40:56,터미널네거리(송원고가밑방면),128.3482793,36.12230851
553,역방향,0,2021-10-26 05:41:22,2021-10-26 05:41:30,송원고가밑(구미역방면),128.3439691,36.12341245
553,역방향,0,2021-10-26 05:42:09,2021-10-26 05:42:18,원평동 행정복지 센터 앞,128.3388928,36.12581949
