BRT_ID,BRT_DIRECTION,BRT_CLASS,BRN_IN_OCCURYMDHMS,BRN_OUT_OCCURYMDHMS,BNODE_KNAME,BNODE_X,BNODE_Y
140,순환,0,2021-11-10 01:59:15,2021-11-10 01:59:26,푸르지오캐슬B단지,128.3361004,36.12470868
380-1,정방향,0,2021-11-10 03:11:07,2021-11-10 03:11:16,각산네거리,128.434978,36.15415266
885,정방향,0,2021-11-10 06:06:23,2021-11-10 06:07:03,금오산사거리,128.3358796,36.12688792
95-1,정방향,1,2021-11-10 06:06:25,2021-11-10 06:07:07,금오산사거리,128.3358796,36.12688792
172,역방향,0,2021-11-10 06:06:36,2021-11-10 06:06:44,원평2동산업도로(도량교방면),128.3278393,36.13316801
12,정방향,0,2021-11-10 06:06:41,2021-11-10 06:07:10,금오산사거리,128.3358796,36.12688792
890,정방향,0,2021-11-10 06:06:48,2021-11-10 06:07:00,금오산사거리,128.3358796,36.12688792
92,정방향,0,2021-11-10 06:06:48,2021-11-10 06:07:06,황상동입구(황상현대아파트방면),128.4256459,36.11041644
74,정방향,0,2021-11-10 06:06:49,2021-11-10 06:08:49,선산터미널종점,128.3043322,36.23971938
55,정방향,0,2021-11-10 06:06:54,2021-11-10 06:07:02,성의중고앞,128.1369252,36.11657923
740,정방향,0,2021-11-10 06:06:58,2021-11-10 06:07:05,용동골고개(수도가압장방면),128.3154702,36.26380298
195,정방향,0,2021-11-10 06:07:01,2021-11-10 06:07:25,구미역,128.3293215,36.12963461
181,정방향,0,2021-11-10 06:07:02,2021-11-10 06:07:12,농협,128.3331997,36.12802335
11,정방향,5,2021-11-10 06:07:03,2021-11-10 06:07:14,금오산사거리,128.3358796,36.12688792
340,순환,0,2021-11-10 06:07:07,2021-11-10 06:07:22,농협,128.3331997,36.12802335
180,정방향,0,2021-11-10 06:07:08,2021-11-10 06:07:20,금오산사거리,128.3358796,36.12688792
140-2,순환,0,2021-11-10 06:07:11,2021-11-10 06:07:36,구미역,128.3293215,36.12963461
74,정방향,0,2021-11-10 06:07:11,2021-11-10 06:07:15,교리e편한세상(생곡리방면),128.3061793,36.25021027
92,정방향,0,2021-11-10 06:07:15,2021-11-10 06:07:25,황상현대아파트앞,128.4236464,36.11085496
190-3,정방향,0,2021-11-10 06:07:16,2021-11-10 06:10:15,구미역,128.3293215,36.12963461
411-6,순환,5,2021-11-10 06:07:16,2021-11-10 06:07:28,농협,128.3331997,36.12802335
885,정방향,0,2021-11-10 06:07:18,2021-11-10 06:07:38,원평동 행정복지센터 건너,128.3378738,36.12604377
95-1,정방향,1,2021-11-10 06:07:21,2021-11-10 06:07:41,원평동 행정복지센터 건너,128.3378738,36.12604377
380-1,정방향,0,2021-11-10 06:07:25,2021-11-10 06:07:37,농협,128.3331997,36.12802335
74,정방향,0,2021-11-10 06:07:26,2021-11-10 06:07:32,교리e편한세상A후문건너,128.3064714,36.25276011
740,정방향,0,2021-11-10 06:07:27,2021-11-10 06:07:37,선산전문장례식장앞,128.317339,36.26698721
12,정방향,0,2021-11-10 06:07:28,2021-11-10 06:07:44,원평동 행정복지센터 건너,128.3378738,36.12604377
181,정방향,0,2021-11-10 06:07:31,2021-11-10 06:07:40,금오산사거리,128.3358796,36.12688792
92,정방향,0,2021-11-10 06:07:32,2021-11-10 06:07:41,황상신화아파트앞,128.4215948,36.11084456
340,순환,0,2021-11-10 06:07:38,2021-11-10 06:07:52,금오산사거리,128.3358796,36.12688792
55,정방향,0,2021-11-10 06:07:38,2021-11-10 06:07:48,지좌동(문성중학교방면),128.1421158,36.11823444
890,정방향,0,2021-11-10 06:07:41,2021-11-10 06:07:47,금오시장 건너,128.339623,36.12527783
11,정방향,5,2021-11-10 06:07:42,2021-11-10 06:08:01,원평동 행정복지센터 건너,128.3378738,36.12604377
885,정방향,0,2021-11-10 06:07:45,2021-11-10 06:07:56,금오시장 건너,128.339623,36.12527783
411-6,순환,5,2021-11-10 06:07:47,2021-11-10 06:07:58,금오산사거리,128.3358796,36.12688792
95-1,정방향,1,2021-11-10 06:07:47,2021-11-10 06:07:59,금오시장 건너,128.339623,36.12527783
12,정방향,0,2021-11-10 06:07:50,2021-11-10 06:08:03,금오시장 건너,128.339623,36.12527783
195,정방향,0,2021-11-10 06:07:52,2021-11-10 06:08:32,농협,128.3331997,36.12802335
380-1,정방향,0,2021-11-10 06:07:55,2021-11-10 06:08:08,금오산사거리,128.3358796,36.12688792
172,역방향,0,2021-11-10 06:07:59,2021-11-10 06:08:08,도량교(구미남고방면),128.3323547,36.13463238
890,정방향,0,2021-11-10 06:08:00,2021-11-10 06:08:07,송원고가밑(터미널네거리방면),128.3421501,36.12386997
171-4,정방향,0,2021-11-10 06:08:03,2021-11-10 06:08:34,예강1리(고아119안전센터앞),128.3396784,36.19970071
740,정방향,0,2021-11-10 06:08:05,2021-11-10 06:08:14,생곡리고개(생곡삼거리방면),128.3207321,36.27110209
140-2,순환,0,2021-11-10 06:08:06,2021-11-10 06:08:36,농협,128.3331997,36.12802335
885,정방향,0,2021-11-10 06:08:10,2021-11-10 06:08:24,송원고가밑(터미널네거리방면),128.3421501,36.12386997
11,정방향,5,2021-11-10 06:08:12,2021-11-10 06:08:20,금오시장 건너,128.339623,36.12527783
95-1,정방향,1,2021-11-10 06:08:13,2021-11-10 06:08:28,송원고가밑(터미널네거리방면),128.3421501,36.12386997
92,정방향,0,2021-11-10 06:08:16,2021-11-10 06:08:24,하우저만,128.4175344,36.11270803
12,정방향,0,2021-11-10 06:08:17,2021-11-10 06:08:47,송원고가밑(터미널네거리방면),128.3421501,36.12386997
172,역방향,0,2021-11-10 06:08:22,2021-11-10 06:08:46,구미남고앞,128.3324294,36.1374931
890,정방향,0,2021-11-10 06:08:34,2021-11-10 06:08:39,터미널네거리(오성예식장앞방면),128.3478662,36.12222128
11,정방향,5,2021-11-10 06:08:35,2021-11-10 06:08:52,송원고가밑(터미널네거리방면),128.3421501,36.12386997
55,정방향,0,2021-11-10 06:08:38,2021-11-10 06:08:47,문성중학교앞,128.1469208,36.11876475
740,정방향,0,2021-11-10 06:08:42,2021-11-10 06:08:54,생곡삼거리(생곡리방면),128.3237027,36.27516683
24,정방향,0,2021-11-10 06:08:46,2021-11-10 06:08:54,원평동(대구은행앞방면),128.3375163,36.12802591
74,정방향,0,2021-11-10 06:08:48,2021-11-10 06:08:54,용동골고개(수도가압장방면),128.3154702,36.26380298
195,정방향,0,2021-11-10 06:08:48,2021-11-10 06:09:46,금오산사거리,128.3358796,36.12688792
140-2,순환,0,2021-11-10 06:08:50,2021-11-10 06:08:58,금오산사거리,128.3358796,36.12688792
885,정방향,0,2021-11-10 06:08:51,2021-11-10 06:09:01,터미널네거리(오성예식장앞방면),128.3478662,36.12222128
95-1,정방향,1,2021-11-10 06:08:56,2021-11-10 06:09:04,터미널네거리(오성예식장앞방면),128.3478662,36.12222128
180,정방향,0,2021-11-10 06:08:56,2021-11-10 06:09:14,푸르지오캐슬B단지,128.3361004,36.12470868
890,정방향,0,2021-11-10 06:08:57,2021-11-10 06:09:19,오성예식장앞,128.351442,36.12119339
380-1,정방향,0,2021-11-10 06:09:00,2021-11-10 06:09:15,각산네거리,128.434978,36.15415266
181,정방향,0,2021-11-10 06:09:01,2021-11-10 06:09:17,푸르지오캐슬B단지,128.3361004,36.12470868
340,순환,0,2021-11-10 06:09:05,2021-11-10 06:09:26,푸르지오캐슬B단지,128.3361004,36.12470868
172,역방향,0,2021-11-10 06:09:09,2021-11-10 06:09:18,도산초등학교,128.332365,36.14124625
411-6,순환,5,2021-11-10 06:09:12,2021-11-10 06:09:27,푸르지오캐슬B단지,128.3361004,36.12470868
74,정방향,0,2021-11-10 06:09:14,2021-11-10 06:09:20,선산전문장례식장앞,128.317339,36.26698721
12,정방향,0,2021-11-10 06:09:16,2021-11-10 06:09:24,터미널네거리(오성예식장앞방면),128.3478662,36.12222128
380-1,정방향,0,2021-11-10 06:09:17,2021-11-10 06:09:31,푸르지오캐슬B단지,128.3361004,36.12470868
740,정방향,0,2021-11-10 06:09:20,2021-11-10 06:09:27,생곡리(일선교방면),128.3282555,36.27297848
24,정방향,0,2021-11-10 06:09:20,2021-11-10 06:09:29,대구은행앞,128.3356625,36.12718339
95-1,정방향,1,2021-11-10 06:09:21,2021-11-10 06:09:30,오성예식장앞,128.351442,36.12119339
140-2,순환,0,2021-11-10 06:09:25,2021-11-10 06:09:43,푸르지오캐슬B단지,128.3361004,36.12470868
180,정방향,0,2021-11-10 06:09:29,2021-11-10 06:09:37,가톨릭근로자문화센타,128.3378493,36.12327282
181,정방향,0,2021-11-10 06:09:33,2021-11-10 06:09:41,가톨릭근로자문화센타,128.3378493,36.12327282
11,정방향,5,2021-11-10 06:09:34,2021-11-10 06:09:41,터미널네거리(오성예식장앞방면),128.3478662,36.12222128
340,순환,0,2021-11-10 06:09:36,2021-11-10 06:09:50,가톨릭근로자문화센타,128.3378493,36.12327282
885,정방향,0,2021-11-10 06:09:40,2021-11-10 06:09:53,구미종합터미널앞,128.3510414,36.12252942
411-6,순환,5,2021-11-10 06:09:41,2021-11-10 06:09:51,가톨릭근로자문화센타,128.3378493,36.12327282
74,정방향,0,2021-11-10 06:09:43,2021-11-10 06:09:48,생곡리고개(생곡삼거리방면),128.3207321,36.27110209
380-1,정방향,0,2021-11-10 06:09:46,2021-11-10 06:09:56,가톨릭근로자문화센타,128.3378493,36.12327282
172,역방향,0,2021-11-10 06:09:46,2021-11-10 06:09:59,구미여고,128.3311962,36.14460079
92,정방향,0,2021-11-10 06:09:46,2021-11-10 06:09:53,효성티앤에스건너,128.4104658,36.12423358
171-4,정방향,0,2021-11-10 06:09:47,2021-11-10 06:10:14,항곡현일중고등학교건너,128.3477094,36.18828881
74,정방향,0,2021-11-10 06:09:53,2021-11-10 06:10:34,선산터미널종점,128.3043322,36.23971938
140-2,순환,0,2021-11-10 06:10:00,2021-11-10 06:10:09,가톨릭근로자문화센타,128.3378493,36.12327282
195,정방향,0,2021-11-10 06:10:00,2021-11-10 06:10:07,원평동 행정복지센터 건너,128.3378738,36.12604377
26-2,순환,1,2021-11-10 06:10:03,2021-11-10 06:10:27,구미역(선산노선정류장),128.3295658,36.12953268
360,정방향,0,2021-11-10 06:10:05,2021-11-10 06:10:28,구미역,128.3293215,36.12963461
410-7,정방향,1,2021-11-10 06:10:07,2021-11-10 06:10:41,구미역,128.3293215,36.12963461
55,정방향,0,2021-11-10 06:10:11,2021-11-10 06:10:21,한마음타운앞,128.1530113,36.11649888
195,정방향,0,2021-11-10 06:10:12,2021-11-10 06:10:23,금오시장 건너,128.339623,36.12527783
24,정방향,0,2021-11-10 06:10:15,2021-11-10 06:10:24,구미역 전(국민은행),128.3322865,36.12861582
74,정방향,0,2021-11-10 06:10:16,2021-11-10 06:10:26,생곡삼거리(생곡리방면),128.3237027,36.27516683
181,정방향,0,2021-11-10 06:10:17,2021-11-10 06:10:25,형곡금호어울림앞,128.338457,36.11941619
172,역방향,0,2021-11-10 06:10:18,2021-11-10 06:10:29,구미중학교건너,128.3311099,36.14806354
740,정방향,0,2021-11-10 06:10:19,2021-11-10 06:10:26,일선교(일선교정류장방면),128.3389492,36.27281363
92,정방향,0,2021-11-10 06:10:23,2021-11-10 06:10:30,엘지이노텍건너,128.4135597,36.12678134
340-4,순환,5,2021-11-10 06:10:25,2021-11-10 06:12:16,구미역,128.3293215,36.12963461
340,순환,0,2021-11-10 06:10:26,2021-11-10 06:10:35,형곡금호어울림앞,128.338457,36.11941619
185,정방향,0,2021-11-10 06:10:33,2021-11-10 06:10:46,구미역,128.3293215,36.12963461
885,정방향,0,2021-11-10 06:10:34,2021-11-10 06:10:44,농협파머스마켓앞,128.3545034,36.12214043
195,정방향,0,2021-11-10 06:10:36,2021-11-10 06:11:01,송원고가밑(터미널네거리방면),128.3421501,36.12386997
380-1,정방향,0,2021-11-10 06:10:36,2021-11-10 06:10:44,형곡금호어울림앞,128.338457,36.11941619
24,정방향,0,2021-11-10 06:10:37,2021-11-10 06:10:46,구미역(중앙시장),128.3298341,36.12962183
181,정방향,0,2021-11-10 06:10:39,2021-11-10 06:10:47,형곡네거리,128.3387627,36.11679033
172,역방향,0,2021-11-10 06:10:41,2021-11-10 06:10:51,원호동(원호대우아파트앞방면),128.3306036,36.15065564
190-3,정방향,0,2021-11-10 06:10:41,2021-11-10 06:10:54,농협,128.3331997,36.12802335
92,정방향,0,2021-11-10 06:10:50,2021-11-10 06:11:00,성원아파트앞,128.4158753,36.12879299
340,순환,0,2021-11-10 06:10:53,2021-11-10 06:11:40,형곡네거리,128.3387627,36.11679033
74,정방향,0,2021-11-10 06:10:54,2021-11-10 06:11:00,생곡리(일선교방면),128.3282555,36.27297848
360,정방향,0,2021-11-10 06:10:57,2021-11-10 06:11:04,농협,128.3331997,36.12802335
172,역방향,0,2021-11-10 06:11:04,2021-11-10 06:11:14,원호대우아파트앞,128.329198,36.15304219
380-1,정방향,0,2021-11-10 06:11:05,2021-11-10 06:11:35,형곡네거리,128.3387627,36.11679033
410-7,정방향,1,2021-11-10 06:11:08,2021-11-10 06:11:53,농협,128.3331997,36.12802335
740,정방향,0,2021-11-10 06:11:09,2021-11-10 06:11:17,일선교정류장건너,128.3473558,36.2722249
12,정방향,0,2021-11-10 06:11:09,2021-11-10 06:11:25,오성예식장앞,128.351442,36.12119339
190-3,정방향,0,2021-11-10 06:11:10,2021-11-10 06:11:27,금오산사거리,128.3358796,36.12688792
24,정방향,0,2021-11-10 06:11:12,2021-11-10 06:11:21,원평2동행정복지센터건너,128.325838,36.13129062
92,정방향,0,2021-11-10 06:11:14,2021-11-10 06:11:26,구포전원타운앞,128.4165332,36.13126127
55,정방향,0,2021-11-10 06:11:15,2021-11-10 06:11:23,무실삼거리,128.1551789,36.11584285
180,정방향,0,2021-11-10 06:11:17,2021-11-10 06:11:41,송정동번개시장건너,128.3405662,36.1212612
185,정방향,0,2021-11-10 06:11:17,2021-11-10 06:11:53,농협,128.3331997,36.12802335
360,정방향,0,2021-11-10 06:11:19,2021-11-10 06:11:29,금오산사거리,128.3358796,36.12688792
140-2,순환,0,2021-11-10 06:11:20,2021-11-10 06:11:45,송정동번개시장건너,128.3405662,36.1212612
26-2,순환,1,2021-11-10 06:11:21,2021-11-10 06:12:00,농협,128.3331997,36.12802335
411-6,순환,5,2021-11-10 06:11:24,2021-11-10 06:11:50,송정동번개시장건너,128.3405662,36.1212612
195,정방향,0,2021-11-10 06:11:31,2021-11-10 06:11:38,터미널네거리(오성예식장앞방면),128.3478662,36.12222128
740,정방향,0,2021-11-10 06:11:34,2021-11-10 06:11:42,일선리(칠창방면),128.349555,36.26939846
74,정방향,0,2021-11-10 06:11:39,2021-11-10 06:11:47,태완노블리안정문건너,128.3058566,36.2469351
92,정방향,0,2021-11-10 06:11:42,2021-11-10 06:11:48,구포동(4공단입구방면),128.4170251,36.13372794
55,정방향,0,2021-11-10 06:11:44,2021-11-10 06:11:51,덕곡동건너,128.1590325,36.11884291
190-3,정방향,0,2021-11-10 06:11:47,2021-11-10 06:11:58,각산네거리,128.434978,36.15415266
74,정방향,0,2021-11-10 06:11:54,2021-11-10 06:12:00,일선교(일선교정류장방면),128.3389492,36.27281363
195,정방향,0,2021-11-10 06:11:56,2021-11-10 06:12:21,오성예식장앞,128.351442,36.12119339
171-4,정방향,0,2021-11-10 06:11:58,2021-11-10 06:12:26,봉한2리(봉한1리방면),128.3508164,36.18119253
190-3,정방향,0,2021-11-10 06:11:58,2021-11-10 06:12:08,푸르지오캐슬B단지,128.3361004,36.12470868
181,정방향,0,2021-11-10 06:12:00,2021-11-10 06:12:07,동우그린파크,128.3360182,36.11660504
881,정방향,0,2021-11-10 06:12:04,2021-11-10 06:15:17,구미역,128.3293215,36.12963461
74,정방향,0,2021-11-10 06:12:04,2021-11-10 06:12:12,교리e편한세상(생곡리방면),128.3061793,36.25021027
180,정방향,0,2021-11-10 06:12:05,2021-11-10 06:12:25,시청후문앞,128.3444543,36.12044819
340,순환,0,2021-11-10 06:12:06,2021-11-10 06:12:14,동우그린파크,128.3360182,36.11660504
360,정방향,0,2021-11-10 06:12:06,2021-11-10 06:12:15,푸르지오캐슬B단지,128.3361004,36.12470868
140-2,순환,0,2021-11-10 06:12:07,2021-11-10 06:12:28,시청후문앞,128.3444543,36.12044819
380-1,정방향,0,2021-11-10 06:12:10,2021-11-10 06:12:19,동우그린파크,128.3360182,36.11660504
410-7,정방향,1,2021-11-10 06:12:11,2021-11-10 06:12:25,금오산사거리,128.3358796,36.12688792
92,정방향,0,2021-11-10 06:12:12,2021-11-10 06:12:20,4공단입구(옥계방면),128.4177662,36.13773879
190-3,정방향,0,2021-11-10 06:12:14,2021-11-10 06:12:25,가톨릭근로자문화센타,128.3378493,36.12327282
185,정방향,0,2021-11-10 06:12:14,2021-11-10 06:12:32,금오산사거리,128.3358796,36.12688792
411-6,순환,5,2021-11-10 06:12:16,2021-11-10 06:12:44,시청후문앞,128.3444543,36.12044819
172,역방향,0,2021-11-10 06:12:16,2021-11-10 06:13:34,원호푸르지오아파트건너,128.3346433,36.15602465
26-2,순환,1,2021-11-10 06:12:19,2021-11-10 06:12:38,금오산사거리,128.3358796,36.12688792
11,정방향,5,2021-11-10 06:12:19,2021-11-10 06:12:27,구미종합터미널앞,128.3510414,36.12252942
890,정방향,0,2021-11-10 06:12:20,2021-11-10 06:12:25,구미IC네거리,128.3601083,36.119205
95-1,정방향,1,2021-11-10 06:12:21,2021-11-10 06:12:43,구미IC네거리,128.3601083,36.119205
740,정방향,0,2021-11-10 06:12:23,2021-11-10 06:12:30,칠창(낙산리방면),128.3492696,36.26294359
74,정방향,0,2021-11-10 06:12:24,2021-11-10 06:12:31,교리e편한세상A후문건너,128.3064714,36.25276011
885,정방향,0,2021-11-10 06:12:24,2021-11-10 06:12:46,구미IC네거리,128.3601083,36.119205
360,정방향,0,2021-11-10 06:12:26,2021-11-10 06:12:36,가톨릭근로자문화센타,128.3378493,36.12327282
110,정방향,0,2021-11-10 06:12:26,2021-11-10 06:15:22,구미역,128.3293215,36.12963461
171-4,정방향,0,2021-11-10 06:12:40,2021-11-10 06:12:46,봉한1리(낙동강부대앞방면),128.3520036,36.17805156
55,정방향,0,2021-11-10 06:12:44,2021-11-10 06:13:02,신촌(용전방면),128.1695675,36.12437415
74,정방향,0,2021-11-10 06:12:47,2021-11-10 06:12:52,일선교정류장건너,128.3473558,36.2722249
