종점,막차시간,노선ID,노선번호,노선유형,기점,첫차시간
구미역(중앙시장),2146,GMB19120,191,일반버스,옥계이편한세상APT앞,0908
해평버스정류장,2150,GMB19210,192,좌석버스,구미역,0835
구미역(중앙시장),2253,GMB19220,192,좌석버스,해평버스정류장,0625
장천버스터미널 종점,1853,GMB193-210,193-2,일반버스,구미역,1853
구미역(중앙시장),2000,GMB193-220,193-2,일반버스,장천버스터미널 종점,2000
장천버스터미널 종점,2015,GMB19310,193,좌석버스,구미역,0633
구미역(중앙시장),2115,GMB19320,193,좌석버스,장천버스터미널 종점,0730
양호동종점,1430,GMB19410,194,일반버스,구미역,1050
구미역(중앙시장),1505,GMB19420,194,일반버스,양호동종점,1125
AGC화인테크노한국앞,1940,GMB19510,195,일반버스,구미역,0630
구미역(중앙시장),2035,GMB19520,195,일반버스,AGC화인테크노한국건너,0725
경운대학교(구미운전면허센터),2105,GMB19610,196,좌석버스,구미역,0635
구미역(중앙시장),2200,GMB19620,196,좌석버스,경운대학교(구미운전면허센터),0733
봉곡청마루출발지(종점),2210,GMB20-130,20-1,일반버스,봉곡청마루출발지(종점),0645
봉곡청마루출발지(종점),2120,GMB20-230,20-2,일반버스,봉곡청마루출발지(종점),1259
축산물유통센터건너,2210,GMB20-231,20-2,일반버스,선주고등학교건너,2210
봉곡청마루출발지(종점),0715,GMB20-330,20-3,일반버스,봉곡청마루출발지(종점),0715
봉곡청마루출발지(종점),2240,GMB2030,20,일반버스,봉곡청마루출발지(종점),0630
봉곡청마루출발지(종점),2146,GMB2130,21,일반버스,봉곡청마루출발지(종점),0655
문성2지구,2123,GMB2410,24,일반버스,원평동(대구은행앞방면),0606
문성2지구,1541,GMB2413,24,일반버스,구운초등학교앞,0746
문성2지구,2100,GMB2430,24,일반버스,문성2지구,0648
구미역(중앙시장),2213,GMB2520,25,일반버스,문성2지구,1055
괴평,0755,GMB26-110,26-1,일반버스,원호대우아파트건너,0755
원호대우아파트앞,0715,GMB26-120,26-1,일반버스,괴평,0715
봉곡청마루출발지(종점),1627,GMB2232,22,일반버스,봉곡청마루출발지(종점),0643
봉곡청마루출발지(종점),1920,GMB2330,23,일반버스,봉곡청마루출발지(종점),0905
구운초등학교건너(괴평방면),1423,GMB24-112,24-1,일반버스,문성2지구,0635
구미역(중앙시장),1805,GMB26-230,26-2,일반버스,구미역(선산노선정류장),1538
구미역(중앙시장),1416,GMB26-231,26-2,일반버스,구미역(선산노선정류장),0605
괴평,1953,GMB26010,260,일반버스,구미역(선산노선정류장),0640
구미역(중앙시장),2013,GMB26020,260,좌석버스,괴평,0700
괴평,2151,GMB2610,26,일반버스,구미역(선산노선정류장),0648
구미역(중앙시장),2218,GMB2620,26,좌석버스,괴평,0837
봉곡청마루출발지(종점),1540,GMB27-130,27-1,일반버스,봉곡청마루출발지(종점),1013
금오산출발,1305,GMB27-210,27-2,좌석버스,구미대학교안,0810
구미대학교안,1345,GMB27-220,27-2,좌석버스,금오산출발,0850
금오산출발,2100,GMB27-310,27-3,일반버스,구미역,0740
구미역(중앙시장),2115,GMB27-320,27-3,일반버스,금오산출발,0755
금오산출발,1955,GMB2710,27,일반버스,구미대학교안,0645
구미대학교안,2025,GMB2720,27,일반버스,금오산출발,0713
구미역(중앙시장),0659,GMB28-110,28-1,일반버스,구미역(선산노선정류장),0659
구미역(중앙시장),1743,GMB2830,28,일반버스,구미역(선산노선정류장),1229
문성2지구,1920,GMB2910,29,일반버스,구미역(선산노선정류장),0620
구미역(중앙시장),1940,GMB2920,29,일반버스,문성2지구,0640
황상종점,1135,GMB303-130,303-1,일반버스,황상종점 출발점,0900
황상종점,1510,GMB303-131,303-1,일반버스,황상종점 출발점,1510
황상종점,2044,GMB303-132,303-1,일반버스,황상종점 출발점,1630
황상종점,0725,GMB303-134,303-1,일반버스,황상종점 출발점,0725
황상종점,2003,GMB30330,303,일반버스,황상종점 출발점,0715
구미역(중앙시장),1800,GMB340-236,340-2,일반버스,봉곡청마루출발지(종점),0740
구미역(중앙시장),0626,GMB340-330,340-3,일반버스,봉곡청마루출발지(종점),0626
봉곡청마루출발지(종점),1555,GMB340-435,340-4,일반버스,구미역,0605
문성태완노블리안아파트,2035,GMB340-512,340-5,일반버스,구미역,0620
구미역(중앙시장),2220,GMB340-610,340-6,좌석버스,청솔아파트앞,2220
구미역(중앙시장),0752,GMB340-713,340-7,일반버스,청솔아파트앞,0752
구미역(중앙시장),2205,GMB34011,340,일반버스,귀빈맨션(구미여고),2205
구미역(중앙시장),2215,GMB34030,340,일반버스,구미역,0612
숭오리 종점,0843,GMB360-110,360-1,일반버스,봉곡청마루출발지(종점),0843
봉곡청마루출발지(종점),0705,GMB360-120,360-1,일반버스,숭오리종점출발,0705
숭오리 종점,2215,GMB36010,360,일반버스,구미역,0605
숭오리 종점,2205,GMB36014,360,일반버스,귀빈맨션(구미여고),2205
구미역(중앙시장),2305,GMB36020,360,일반버스,숭오리종점출발,0650
숭오리 종점,2140,GMB36110,361,일반버스,구미역,0710
구미역(중앙시장),2220,GMB36120,361,일반버스,숭오리종점출발,0747
사곡역,2030,GMB36210,362,일반버스,구미역,0610
구미역(중앙시장),2233,GMB36220,362,일반버스,사곡역,0813
옥계대백타운종점,0605,GMB380-110,380-1,일반버스,구미역,0605
구미역(중앙시장),0718,GMB380-120,380-1,일반버스,옥계대백타운 출발지,0718
황상종점,0705,GMB380-210,380-2,일반버스,구미역,0705
구미역(중앙시장),2143,GMB380-220,380-2,일반버스,황상종점 출발점,2143
구미역(중앙시장),0708,GMB380-320,380-3,일반버스,황상종점 출발점,0708
원호대우아파트앞,2220,GMB380-321,380-3,일반버스,황상종점 출발점,2220
황상종점,2200,GMB38010,380,일반버스,구미역,0615
구미역(중앙시장),2300,GMB38020,380,일반버스,황상종점 출발점,0620
금오공대종점,2021,GMB404-130,404-1,좌석버스,금오공대종점,0725
금오공대종점,2002,GMB40431,404,일반버스,금오공대종점,0640
문성2지구,2101,GMB410-131,410-1,좌석버스,구미역,2101
원호대우아파트앞,1350,GMB410-135,410-1,일반버스,구미역,1350
구미역(중앙시장),1700,GMB410-236,410-2,일반버스,원호대우아파트건너,1700
