노선번호,정류소순서,구간_이름
GMB19120,1,옥계이편한세상APT앞 - 우미린더스카이앞
GMB19120,2,우미린더스카이앞 - 4공단(현진아파트방면)
GMB19120,3,4공단(현진아파트방면) - 현진아파트앞
GMB19120,4,현진아파트앞 - 삼구아파트
GMB19120,5,삼구아파트 - 4공단입구건너(인동농협옥계지점)
GMB19120,6,4공단입구건너(인동농협옥계지점) - 옥계대우아파트앞
GMB19120,7,옥계대우아파트앞 - 신나리아파트
GMB19120,8,신나리아파트 - 옥계중학교앞
GMB19120,9,옥계중학교앞 - 금오공대입구(금오공대종점방면)
GMB19120,10,금오공대입구(금오공대종점방면) - 금오공대입구(옥계중학교방면)
GMB19120,11,금오공대입구(옥계중학교방면) - 일이삼철강 건너
GMB19120,12,일이삼철강 건너 - 양호동빈수골(엘지연수원방면)
GMB19120,13,양호동빈수골(엘지연수원방면) - 엘지연수원앞
GMB19120,14,엘지연수원앞 - 예일베어링앞
GMB19120,15,예일베어링앞 - 비산보성타운앞
GMB19120,16,비산보성타운앞 - 비산벽산A
GMB19120,17,비산벽산A - 비산초등건너
GMB19120,18,비산초등건너 - 비산사거리(금오공대아파트건너)
GMB19120,19,비산사거리(금오공대아파트건너) - 신평e편한세상아파트
GMB19120,20,신평e편한세상아파트 - 신평중학교입구
GMB19120,21,신평중학교입구 - 신평농협
GMB19120,22,신평농협 - 강산타운아파트건너
GMB19120,23,강산타운아파트건너 - 한신아파트후문
GMB19120,24,한신아파트후문 - 삼성장미아파트앞
GMB19120,25,삼성장미아파트앞 - 시민운동장건너
GMB19120,26,시민운동장건너 - 송정여중입구건너
GMB19120,27,송정여중입구건너 - 반석드림빌건너
GMB19120,28,반석드림빌건너 - 차병원건너
GMB19120,29,차병원건너 - 형곡4주공네거리(형곡초등학교방면)
GMB19120,30,형곡4주공네거리(형곡초등학교방면) - 형곡초등학교앞
GMB19120,31,형곡초등학교앞 - 형곡중앙시장건너
GMB19120,32,형곡중앙시장건너 - 형곡중학교입구건너
GMB19120,33,형곡중학교입구건너 - 형곡금오산입구건너
GMB19120,34,형곡금오산입구건너 - 풍림2차앞
GMB19120,35,풍림2차앞 - 우방3차앞
GMB19120,36,우방3차앞 - 미성빌라
