BRT_ID,BRT_DIRECTION,BRT_CLASS,BRN_IN_OCCURYMDHMS,BRN_OUT_OCCURYMDHMS,BNODE_KNAME,BNODE_X,BNODE_Y
553,역방향,0,2021-10-15 05:39:08,2021-10-15 05:40:27,구미종합터미널건너,128.3508489,36.12267599
553,역방향,0,2021-10-15 05:41:01,2021-10-15 05:41:22,터미널네거리(송원고가밑방면),128.3482793,36.12230851
553,역방향,0,2021-10-15 05:42:00,2021-10-15 05:42:12,송원고가밑(구미역방면),128.3439691,36.12341245
553,역방향,0,2021-10-15 05:42:39,2021-10-15 05:42:51,금오시장 입구,128.340973,36.12474098
553,역방향,0,2021-10-15 05:43:03,2021-10-15 05:43:21,원평동 행정복지 센터 앞,128.3388928,36.12581949
553,역방향,0,2021-10-15 05:45:04,2021-10-15 05:45:16,금오산사거리,128.434978,36.15415266
553,역방향,0,2021-10-15 05:45:16,2021-10-15 05:45:33,대구은행앞,128.3356625,36.12718339
553,역방향,0,2021-10-15 05:46:02,2021-10-15 05:46:21,구미역 전(국민은행),128.3322865,36.12861582
553,역방향,0,2021-10-15 05:47:16,2021-10-15 05:47:50,구미역(김천행),128.328432,36.130215
553,역방향,0,2021-10-15 05:48:09,2021-10-15 05:48:22,원평2동행정복지센터건너,128.325838,36.13129062
553,역방향,0,2021-10-15 05:51:11,2021-10-15 05:51:20,도량2동입구(선기동교복단지건너방면),128.3217852,36.1338658
553,역방향,0,2021-10-15 05:52:07,2021-10-15 05:52:14,선기동교복단지건너,128.3124331,36.13709824
553,역방향,0,2021-10-15 05:52:26,2021-10-15 05:52:34,봉곡동입구(진주울입구방면),128.3093903,36.13855769
72-3,순환,2,2021-10-15 05:52:49,2021-10-15 05:52:52,선산터미널종점,128.3043322,36.23971938
72-3,순환,2,2021-10-15 05:52:54,2021-10-15 05:53:00,선산터미널종점,128.3043322,36.23971938
72-3,순환,2,2021-10-15 05:53:20,2021-10-15 05:53:22,선산터미널종점,128.3043322,36.23971938
553,역방향,0,2021-10-15 05:53:21,2021-10-15 05:53:29,진주울입구(장흥리방면),128.3016804,36.14131902
72-3,순환,2,2021-10-15 05:53:25,2021-10-15 05:53:26,선산터미널종점,128.3043322,36.23971938
72-3,순환,2,2021-10-15 05:53:27,2021-10-15 05:53:29,선산터미널종점,128.3043322,36.23971938
72-3,순환,2,2021-10-15 05:53:30,2021-10-15 05:54:13,선산터미널종점,128.3043322,36.23971938
171-4,정방향,0,2021-10-15 05:54:14,2021-10-15 05:59:05,선산터미널종점,128.3043322,36.23971938
72-3,순환,2,2021-10-15 05:54:18,2021-10-15 05:54:20,선산터미널종점,128.3043322,36.23971938
72-3,순환,2,2021-10-15 05:54:25,2021-10-15 05:54:28,선산터미널종점,128.3043322,36.23971938
72-3,순환,2,2021-10-15 05:54:29,2021-10-15 05:54:47,선산터미널종점,128.3043322,36.23971938
553,역방향,0,2021-10-15 05:54:38,2021-10-15 05:54:47,장흥리(송천4리입구건너방면),128.2939104,36.14452075
553,역방향,0,2021-10-15 05:55:54,2021-10-15 05:56:11,송천4리입구건너,128.283611,36.14925036
55,정방향,0,2021-10-15 05:56:38,2021-10-15 05:59:50,김천시외버스터미널(종점),128.1178823,36.12287866
553,역방향,0,2021-10-15 05:56:44,2021-10-15 05:57:38,하송(금계방면),128.279235,36.15265581
553,역방향,0,2021-10-15 05:58:10,2021-10-15 05:58:17,금계(구미방면),128.2742229,36.15489417
553,역방향,0,2021-10-15 05:59:26,2021-10-15 05:59:42,아포한마음아파트건너,128.2630024,36.15881109
171-4,정방향,0,2021-10-15 06:00:06,2021-10-15 06:00:55,선산터미널종점,128.3043322,36.23971938
55,정방향,2,2021-10-15 06:00:20,2021-10-15 06:00:28,성내동,128.1203089,36.12067708
553,역방향,0,2021-10-15 06:00:23,2021-10-15 06:00:28,아포역(아포읍행정복지센터방면),128.25718805,36.15943346
55,정방향,0,2021-10-15 06:01:00,2021-10-15 06:02:07,삼각로타리(중앙시장방면),128.1246156,36.11937541
553,역방향,0,2021-10-15 06:01:02,2021-10-15 06:01:12,아포읍행정복지센터앞,128.25308399,36.15975719
