sttn_idntfr,sttn_std_idntfr,sttn_ty,centr_cartrk_se,korean_nm,shrten_nm,la,lo,detect_headg_value,link_idntfr,link_la,link_lo,link_isesttn_sn,link_isesttn_dstnc,start_dcs_dstnc,arvl_dcs_dstnc,reform_no,sttn_svc_idntfr,sttn_svc_nm
1,355000923,1,0,4공단(현진아파트방면),4공단,128.4295512,36.13721741,285,3550007900,128.4295593,36.1371692,2,700,50,50,1399,10001,4공단
2,355000713,0,0,4공단(우미린더스카이건너방면),4공단,128.429585,36.136961,85,3550050600,128.4281314,36.13675458,1,40,50,50,1039,10002,4공단
3,355000381,0,0,4공단입구건너(인동농협옥계지점),4공단입구,128.4173574,36.13781552,188,3550008900,128.4175032,36.13779867,1,99.4,50,50,1278,10003,4공단입구건너(인동농협옥계지점)
4,355000383,0,0,거상빌딩,거상빌딩,128.4170425,36.13604604,188,3550009100,128.4171546,36.13603365,1,78.8,50,50,,10004,거상빌딩
5,355000685,0,0,4공단입구(옥계방면),4공단입구,128.4177662,36.13773879,8,3550051500,128.4176301,36.13775446,1,117,50,50,,10005,4공단입구
6,355000368,0,0,우미린더스카이앞,우미린더스카이앞,128.4328294,36.13798257,252,3550007900,128.4328746,36.13784296,1,422.5,50,50,1147,10006,우미린더스카이앞
7,355000676,0,0,우미린더스카이건너,우미린더스카이건너,128.4323692,36.13755772,76,3550050600,128.4323497,36.1376193,2,328,50,50,1147,10007,우미린더스카이건너
8,355000528,0,0,가네골(백자리방면),가네골,128.2227179,36.2466128,114,3550026800,128.2227092,36.2465947,1,880.1,50,50,,10008,가네골
9,355000825,0,0,가네골(무이리방면),가네골,128.2228187,36.24665519,274,3550069100,128.2228254,36.2466816,3,1507.2,50,50,,10009,가네골
10,355000425,0,0,가라골건너,가라골,128.4305447,36.13232491,297,3550090300,128.4305724,36.13230311,1,358,50,50,1065,10010,가라골
11,355000722,0,0,가라골앞,가라골,128.4302274,36.13222655,128,3550092600,128.4302917,36.13233904,1,164.7,50,50,1090,10011,가라골
12,355000350,0,0,가산1리(가산리방면),가산1리,128.2982164,36.32980587,89,3550005400,128.298227,36.32977817,3,1525.2,50,50,1398,10012,가산1리
13,355000665,0,0,가산1리(용산리방면),가산1리,128.2983486,36.32993268,260,3550049200,128.2983429,36.32993984,5,1953.5,50,50,1460,10013,가산1리
14,355000667,0,0,가산리,가산리,128.2969288,36.3185676,296,3550049300,128.2969434,36.31860122,3,1475.5,50,50,1387,10014,가산리
16,355000442,0,0,강동병원앞,강동병원앞,128.423873,36.09574398,223,3550090800,128.4238597,36.0957708,1,180,50,50,1061,10016,강동병원앞
17,355000453,0,0,강정(봉한2리방면),강정,128.3604799,36.19232255,209,3550016900,128.3604579,36.19233124,1,987.7,50,50,,10017,강정
18,355000743,0,0,강정(해평버스정류장방면),강정,128.3606309,36.19240874,34,3550059700,128.3606452,36.19239641,1,1318.3,50,50,,10018,강정
19,355000487,0,0,경남아너스빌건너,경남아너스빌,128.3438951,36.16064024,91,3550022200,128.3438788,36.16069471,1,66.6,50,50,1382,10019,경남아너스빌
20,355000776,0,0,경남아너스빌앞,경남아너스빌,128.3444044,36.16076243,289,3550064900,128.3444052,36.16076935,3,857.5,50,50,1301,10020,경남아너스빌
21,355000575,0,0,경북외고앞,경북외고,128.3236299,36.12337865,235,3550036600,128.323679,36.1232902,2,484.3,50,50,,10021,경북외고
22,355000873,0,0,경북외고건너,경북외고,128.3244933,36.12340713,65,3550078800,128.3244475,36.12348424,1,378,50,50,,10022,경북외고
23,355000402,0,0,경운대학교입구(교외방면),경운대학입구,128.4664116,36.16240128,210,3550011100,128.4664827,36.16237962,2,541.4,50,50,,10023,경운대학입구
24,355000404,0,0,경운대학교입구건너,경운대학입구,128.467186,36.16205471,109,3550011400,128.4671754,36.16203633,1,66,50,50,,10024,경운대학입구
25,355000702,0,0,경운대학교입구(교내방면),경운대학입구,128.4666999,36.16234222,30,3550053600,128.4666192,36.16236681,1,12.4,50,50,,10025,경운대학입구
26,355000403,0,0,경운대학교,경운대학교,128.4677203,36.16706214,510,3550011100,128.4677185,36.16705325,1,1,50,50,1096,10026,경운대학교
27,355000557,0,0,고려병원삼거리(지산1동방면),고려병원삼거리,128.3456269,36.12641232,298,3550034900,128.3455804,36.12634176,1,198.6,50,50,,10027,고려병원삼거리
28,355000859,0,0,고려병원삼거리(구미종합터미널방면),고려병원삼거리,128.3438231,36.12701593,124,3550076400,128.3438744,36.12707618,1,155.5,50,50,,10028,고려병원삼거리
29,355000860,0,0,고려병원앞,고려병원앞,128.344653,36.12601212,23,3550076600,128.3445749,36.12604423,1,13.8,50,50,,10029,고려병원앞
30,355000446,0,0,고아농공단지건너,고아농공단지,128.3248786,36.21264769,124,3550016500,128.3249292,36.21270365,2,502.9,50,50,,10030,고아농공단지
31,355000616,0,0,고아농공단지앞,고아농공단지,128.3243276,36.21325735,301,3550042700,128.3242934,36.21321207,3,657.2,50,50,,10031,고아농공단지
32,355000597,0,0,낙동강부대앞,낙동강부대건너,128.3541926,36.16965013,155,3550039600,128.3542413,36.16966715,3,1894.4,50,50,1109,10032,낙동강부대앞
33,355000893,0,0,낙동강부대건너,낙동강부대앞,128.3543317,36.16987051,346,3550081800,128.3542936,36.16983782,1,722.3,50,50,1404,10033,낙동강부대건너
34,355000452,0,0,고아신촌(횡산입구방면),고아신촌,128.2965009,36.20174602,243,3550016800,128.2965016,36.20175123,2,1713.5,50,50,,10034,고아신촌
35,355000737,0,0,고아신촌(파산리방면),고아신촌,128.2963519,36.20165466,96,3550059000,128.2963501,36.20163438,1,1246,50,50,,10035,고아신촌
36,355000451,0,0,고아에덴아파트건너,고아에덴아파트,128.3102317,36.22514058,149,3550016600,128.3103599,36.22519564,1,121.5,50,50,,10036,고아에덴아파트
37,355000742,0,0,고아에덴아파트앞,고아에덴아파트,128.3108658,36.22483159,341,3550059300,128.3107278,36.22478364,3,1439.2,50,50,,10037,고아에덴아파트
38,355000447,0,0,고아읍행정복지센터건너,고아읍주민센터,128.3267911,36.21134824,135,3550016500,128.3268413,36.21139545,3,728,50,50,,10038,고아읍행정복지센터건너
39,355000617,0,0,고아초등학교앞,고아초등학교앞,128.3270058,36.2115131,313,3550042700,128.3269515,36.21146126,2,348.9,50,50,,10039,고아초등학교앞
40,355000448,0,0,고아정류장,고아정류장,128.3295711,36.20899211,510,3550000500,128.3295769,36.20899981,1,45.2,50,50,,10040,고아정류장
41,355000618,0,0,고아읍행정복지센터앞,고아읍행정복지센터앞,128.3293266,36.20984276,311,3550042700,128.32928,36.20978995,1,69.1,50,50,1391,10041,고아읍행정복지센터앞
42,355000477,0,0,파라디아A건너,파라디아A,128.3818761,36.10386082,182,3550100000,128.3819645,36.10379654,2,261,50,50,1073,10042,파라디아A
43,355000760,0,0,파라디아A앞,파라디아A,128.3822055,36.10349121,0,3550100100,128.3821091,36.10351532,1,152.4,50,50,1075,10043,파라디아A
44,355000478,0,0,공단3주공건너,공단3주공건너,128.3819002,36.10593385,183,3550100000,128.3819564,36.10592581,1,30.7,50,50,1073,10044,공단3주공건너
45,355000761,0,0,공단3주공앞,공단3주공,128.3821894,36.10602223,1,3550100100,128.3821171,36.10600616,2,447.5,50,50,1072,10045,공단3주공
46,355000479,0,0,공단본부앞,공단본부,128.3790454,36.11108779,270,3550021200,128.3790476,36.11099173,1,90.2,50,50,,10046,공단본부
47,355000768,0,0,공단본부건너,공단본부,128.3767944,36.11076986,87,3550063700,128.3767946,36.110878,1,105.7,50,50,,10047,공단본부
48,355000755,0,0,광명빌딩앞,광명빌딩앞,128.3634671,36.10639426,12,3550061800,128.3633578,36.10640785,2,488.7,50,50,,10048,광명빌딩앞
49,355000474,0,0,광평동노인회관,광평동노인회관,128.3663258,36.10686192,179,3550020600,128.3663648,36.1068622,2,445.9,50,50,,10049,광평동노인회관
50,355000475,0,0,광평동행정복지센터앞,광평동주민센터,128.366344,36.10383399,177,3550020600,128.3663801,36.10383451,3,781.9,50,50,,10050,광평동행정복지센터앞
51,355000757,0,0,광평동행정복지센터건너,광평동주민센터,128.3665492,36.10384492,358,3550062100,128.3665132,36.10384465,1,197.5,50,50,,10051,광평동행정복지센터건너
52,355000465,0,0,광평동푸르지오아파트앞,광평동푸르지오아,128.3656498,36.1021251,266,3550019500,128.3656499,36.10209875,1,74.5,50,50,,10052,광평동푸르지오아파트
53,355000756,0,0,광평동푸르지오아파트건너,광평동푸르지오아,128.3648717,36.10196117,88,3550061900,128.3648716,36.10198778,1,179,50,50,,10053,광평동푸르지오아파트
54,355000393,0,0,괴곡1리(괴곡3거리방면),괴곡1리,128.4134956,36.17264163,131,3550010400,128.4134808,36.17262805,6,3058.3,50,50,,10054,괴곡1리
55,355000693,0,0,괴곡1리(괴곡2리방면),괴곡1리,128.413456,36.1727656,313,3550052900,128.4134707,36.17277916,2,726.7,50,50,,10055,괴곡1리
56,355000394,0,0,괴곡2리(괴곡1리방면),괴곡2리,128.4081792,36.17740948,142,3550010400,128.4081616,36.17739845,5,2341.9,50,50,,10056,괴곡2리
57,355000694,0,0,괴곡2리(문양리방면),괴곡2리,128.4080171,36.17770862,322,3550052900,128.4080351,36.17771908,3,1464.1,50,50,,10057,괴곡2리
58,355000395,0,0,괴곡3거리,괴곡3거리,128.415797,36.16706951,146,3550010400,128.4157793,36.16705868,7,3738.6,50,50,1324,10058,괴곡3거리
60,355000695,0,0,괴곡3거리(괴곡1리방면),괴곡3거리,128.4153566,36.16834425,344,3550052900,128.4153783,36.16834841,1,176.9,50,50,,10060,괴곡3거리
61,355000595,0,0,괴평,괴평,128.3726668,36.17130735,80,3550039400,128.3726396,36.17136727,1,321.3,50,50,1092,10061,괴평
62,355000596,0,0,괴평무지개아파트건너,괴평무지개아파트,128.3675856,36.16966569,242,3550039500,128.3675734,36.16968553,1,172.1,50,50,,10062,괴평무지개아파트
63,355000890,0,0,괴평무지개아파트앞,괴평무지개아파트,128.3677771,36.16895773,64,3550094200,128.3677172,36.16899041,1,301.9,50,50,1372,10063,괴평무지개아파트
64,353000101,0,0,송천4리입구,송천4리입구,128.2835441,36.14921124,134,3530001500,128.2835281,36.14919299,2,1030.4,50,50,,10064,송천4리입구
65,355000454,0,0,구미대학교앞,구미대학,128.289086,36.14881246,295,3550131100,128.2890534,36.14869263,1,89,50,50,1372,10065,구미대학교앞
66,355000907,0,0,송천4리입구건너,송천4리입구건너,128.283611,36.14925036,326,3530002800,128.2836297,36.14926708,1,394.3,50,50,,10066,송천4리입구건너
67,355000744,0,0,구미대학교건너,구미대학,128.2863379,36.14970546,112,3550131000,128.2863488,36.1498144,1,33,50,50,1220,10067,구미대학교건너
68,355000322,0,0,구미남고앞,구미남고,128.3324294,36.1374931,364,3550002700,128.3323559,36.13749217,1,184.5,50,50,,10068,구미남고
69,355000630,0,0,구미남고건너,구미남고,128.3321461,36.13790165,177,3550044900,128.3322175,36.13790123,6,1824.5,50,50,1033,10069,구미남고
70,355000347,0,0,구미레미콘건너,구미레미콘,128.4105021,36.0881293,180,3550005300,128.4105734,36.08812953,4,1940.2,50,50,,10070,구미레미콘
71,355000652,0,0,구미레미콘앞,구미레미콘앞,128.4107811,36.08782024,355,3550048200,128.4107086,36.08782002,1,21.5,50,50,1073,10071,구미레미콘앞
72,355000519,0,0,축산물 유통센터건너,구미버스 차고지,128.309179,36.13029239,280,3550025400,128.3091899,36.13024337,1,470.8,50,50,1425,10072,구미버스 차고지
73,355000855,0,0,구미가톨릭요양병원,구미병원,128.3349366,36.13469703,124,3550075400,128.3350065,36.13478207,1,269.4,50,50,1113,10073,구미가톨릭요양병원
74,355000468,0,0,구미세무서앞,구미세무서,128.3835073,36.11109129,270,3550020000,128.3835073,36.11098757,1,169.6,50,50,,10074,구미세무서
75,355000758,0,0,구미세무서건너,구미세무서,128.3830868,36.11077564,91,3550062300,128.3830867,36.11087924,1,92.2,50,50,,10075,구미세무서
76,355000323,0,0,구미여고,구미여고,128.3311962,36.14460079,345,3550002700,128.331124,36.14458269,3,989,50,50,,10076,구미여고
77,355000874,0,0,구미여중건너,구미여중,128.3267747,36.12374387,85,3550078800,128.3267741,36.12380489,2,594.2,50,50,,10077,구미여중
78,355000576,0,0,구미여중앞,구미여중앞,128.3267569,36.1239726,266,3550036600,128.3267583,36.12391294,1,192.3,50,50,,10078,구미여중앞
79,355000555,0,0,구미역(중앙시장),구미역,128.3298341,36.12962183,296,3550032400,128.3298127,36.12959019,1,131.3,50,50,1118,10079,구미역(중앙시장)
80,355000853,0,0,구미역,구미역,128.3293215,36.12963461,114,3550074700,128.3293408,36.12966527,2,577.6,50,50,,10080,구미역
81,355000915,0,0,구미역(김천행),구미역(김천행),128.328432,36.130215,296,3550032400,128.328432,36.130215,2,180,50,50,,10081,구미역(김천행)
82,355000854,0,0,구미역(선산노선정류장),구미역(선산노선,128.3295658,36.12953268,116,3550074700,128.329585,36.12956362,3,602.3,50,50,,10082,구미역(선산노선정류장)
83,355000510,0,0,구미원예공사건너,구미원예공사,128.2759074,36.33052712,177,3550024700,128.2758856,36.33052578,1,1664.1,50,50,,10083,구미원예공사
